Sr No,District,Name,Address,Contact #
857,Rawalpindi,Urwah Lab,"Shop No B-IV-13, Chaudhary Plaza, Chirah Road, Sadiq Abad Chowk, Rawalpindi",0334-5003942
858,Rawalpindi,Vision Diagnostic Center,Shoaib Clinic 2nd Floor Kuree Road sadiqabad,0314-5145048
859,Rawalpindi,Wilson Lab,"Shop No.14,Basement Al Amin Plaza,Mall Road,Rawalpindi",03349399915
860,Rawalpindi,"Yashfeen Medical & Diagnostic Centre, Murree Road Rawalpindi","Office No O-1, 6 1 J, Johar Town Murree Road Rawalpindi",0320-5000062
861,Rawalpindi,Zainab Clinical Labortary,"Main Chowk Lalkurti, Near Dispensary Ground, Rawalpindi",
862,Sahiwal,Abbas Lab & Diagnostic Centre,"Opposite DHQ Teaching Hospital Noor Shah Road, Sahiwal",03009694457
863,Sahiwal,Al Madina Laboratories,"Girls College Road, Sahiwal",0304-4228282
864,Sahiwal,Alfalah Diagnostic Labs Pvt Ltd,"203-B1 Hali Road, Sahiwal",0300-6900651
865,Sahiwal,Azaan Diagnostic Lab,"Opposite Sahiwal Teaching Hospital, Sahiwal",03318723567
866,Sahiwal,"Ganj Shakar Pathology Laboratory & Research Center, Opp Gate No 1 Civil Hospital, Sahiwal","Opposite Gate No1 Civil Hospital, Sahiwal",0300-7834400
867,Sahiwal,Hamda Lab,"177-Mujahid Clinic, Hali Road, Sahiwal",03365921588
868,Sahiwal,Health Zone Diagnostic Laboratory,"Opposite Sahiwal Teaching Hospital, Sahiwal",03314844086
869,Sahiwal,Hi-Tech Diagnostic Lab,"Tehsil Chowk, Sahiwal",03094013642
870,Sahiwal,Islamabad Diagnostic Center,"Opposite DHQ Hospital Gate No.1, ,Kot Fareed, Noor Shah Road, Sahiwal",0343-8530067
871,Sahiwal,Life Care Diagnostic Lab,"Opposite D.H.Q Hospital, Sahiwal",0322-6686637
872,Sahiwal,"Life Care Diagnostic lab, Bandari Chowk, Sahiwal",Bandari Chowk Girls College Road Sahiwal,0305-5956788
873,Sahiwal,Model Lab,"203-B-1, Hali Road Near Goal Chakkar, Sahiwal",03009696535
874,Sahiwal,National Clinical Lab,"Jamia Faridia Road, Sahiwal",0333-4574519
875,Sahiwal,Omar Diagnostic Centre,"Opposite DHQ Hospital, Noor Shah Road, Sahiwal",
876,Sahiwal,"Pearl Laboratories & Research Center, Chichawatni, Sahiwal","Khursheed Plaza Block No 16, Chichawatni, Sahiwal",
877,Sahiwal,"Pearl Laboratories & Research Centre, Tehsil Chowk Sahiwal",Tehsil Chowk High Street Sahiwal,
878,Sahiwal,"Punjab Diagnostic Lab, DHQ Hospital, Sahiwal",Opp DHA Gate No.1 District Sahiwal,0300-9699693
