No.,,,,,
,District,HCE Name,Address,Sector,
201,Narowal,Zohra Surgical and Children Hospital,"Thana Road, Railway Road, Shakargarh, Narowal",Private,
202,Narowal,Sughra Shafi Medical Complex,"2 Km Main Muridke Road, Narowal",Private,
203,Narowal,Shukar Din Surgical Hospital,"Circular Road, Narowal",Private,
204,Narowal,Shafique Hospital,"Zafarwal Bypass, Narowal",Private,
205,Narowal,Safeena Hospital,"Opposite DPO House, Main Circular Road, , Narowal",Private,
206,Narowal,Hassan Surgimed,"Shakargarh Road Near Mujahid Nursery, Zafarwal Town, Narowal",Private,
207,Narowal,"District Headquarter Hospital, Narowal",Narowal,Public,
208,Narowal,Ali Hospital,"Chan Peer Road, Narowal",Private,
209,Narowal,Akram Hospital,"Shakar Garh, Narowal",Private,
210,Okara,Umar Memorial Hospital,"Church Road, District Okara",Private,
211,Okara,Saeed Children Hospital,"Chowk Depalpur, District Okara",Private,
212,Okara,Kauser Maternity and Surgical Center,"Model Town, Depalpur, Okara",Private,
213,Okara,District Headquarter Hospital Okara,"Eid Gah Road, Okara",Public,
214,Okara,"District Head Quarter Hospital, Okara","Depalpur Road, Okara",Public,
215,Okara,Amna Abdullah Hospital,"Fakhar Shah Colony DepalPur, Okara",Private,
216,Okara,Al Madina Hospital & Maternity Home,"Canal Road Husnain Arcad Renala Khurd, Okara",Private,
217,Pakpattan,Rural Health Center Bunga Hayat,"Depalpur Road Bunga Hayat P/O Chakbedi, District Pakpattan",Public,
218,Pakpattan,Rural Health Center 163/EB Mohammad Nagar,"Tehsil Arifwala, Pakpattan",Public,
219,Pakpattan,LRBT Secondary Eye Hospital,Qaboola Road Tehsil Arifwala District Pakpattan,Private,
220,Pakpattan,District Headquarter Hospital Pakpattan,District Pakpattan,Public,
221,Pakpattan,City Hospital,"DHQ Hospital Road, District Pakpattan",Private,
222,Rahim Yar Khan,"Rural Health Centre, Jamal Din Wali","Jamal Din Wali, District Rahim Yar Khan",Public,
223,Rahim Yar Khan,Hassan Hospital,"Near New Sabzi Mandi Jatha Bhat Road Khanpur, Rahim Yar Khan",Private,
224,Rahim Yar Khan,Hamza Medicare,"6-New Officer Colony Razi Road, District Rahim Yar Khan",Private,
225,Rahim Yar Khan,Al Shifa Medicare,Alshifa Medicare DSP Office Road Officer Colony KhanPur RYK,Private,
226,Rawalpindi,"Tehsil Headquarter Hospital, Kallar Syedan","Kallar Syedan, District Rawalpindi",Public,
227,Rawalpindi,Rawalpindi Teaching Hospital,"Raja Bazar, Rawalpindi",Public,
228,Rawalpindi,Rawalpindi Leprosy Hospital,"Zafar ul Haq Road Post Office 135, Rawalpindi",Private,
229,Rawalpindi,Rawalpindi Institute of Cardiology,"Rawal Road, Rawalpindi",Public,
230,Rawalpindi,Mega Medical Complex,"4-Mall Police Station Road, Opposite AFIC, Rawalpindi Cantt",Private,
231,Rawalpindi,Medicare Hospital,"F-759 Saidpur Road, Rawalpindi",Private,
232,Rawalpindi,Maryam Memorial Hospital (Pvt.) Ltd,"Main Peshawar Road, Rawalpindi",Private,
233,Rawalpindi,Margalla General Hospital,"Main Pirwadhai Road Mandi Moor, Rawalpindi",Private,
234,Rawalpindi,Islamic International Medical College Trust-Railway General Hospital,"Westridge III, Rawalpindi",Private,
235,Rawalpindi,Holy Family Hospital,"F-Block Satellite Town, Saidpur Road, Rawalpindi",Public,
236,Rawalpindi,Hearts International Hospital (Pvt) Ltd,"192-A The Mall, Rawalpindi",Private,
237,Rawalpindi,Farooq Hospital,"Main Murree Expressway, Bahria Golf City, Rawalpindi",Private,
238,Rawalpindi,Christian Hospital,"Faisal Shaheed Road, Taxila, Rawalpindi",Private,
239,Rawalpindi,Bilal Hospital,"38-A Sadiqabad Road Satellite Town, Rawalpindi",Private,
240,Rawalpindi,Benazir Bhutto Hospital,"Murree Road, District Rawalpindi",Public,
241,Rawalpindi,Begum Akhtar Rukhsana Memorial Welfare Trust Hospital,"Phase-8 Bahria Town, Rawalpindi",Private,
242,Rawalpindi,Attock Hospital,"Post Office Refinery Morgah, Rawalpindi",Private,
243,Rawalpindi,Al-Shahbaz Hospital,"Bohar Bazar Kahuta, District Rawalpindi",Private,
244,Rawalpindi,Al Syed Hospital,"Ahata, Texila, Rawalpindi",Private,
245,Rawalpindi,Abbasi Hospital,"Sunny Bank Murree, District Rawalpindi",Private,
246,Sahiwal,Tehsil Headquarter Hospital Chichawatni,Sahiwal,Public,
247,Sahiwal,Sarwar Foundation Rai Ali Nawaz Hospital,"Near Suji Mill Wala Pull, Main GT Road, Chichawatni, District Sahiwal",Private,
248,Sahiwal,Bashrat Hospital,"62/A Old Civil Line, Bandari Chowk, Sahiwal",Private,
249,Sahiwal,Ali Shirazi Poly Clinic,"Jail Road, Sahiwal",Private,
250,Sahiwal,Al Khidmat Hospital,"26/A Jamia Farooqia Road, Sahiwal",Private,
251,Sahiwal,Sahiwal Teaching Hospital,Sahiwal,Public,
252,Sargodha,"LRBT Free Eye Hospital, Shahpur, Sargodha","Mehria Town, Shahpur, District Sargodha",Private,
253,Sargodha,"Fountain House, Sargodha","Near Nawaz Sharif Degree College Jhang Bypass Road, Sargodha",Private,
254,Sheikhupura,Shifa Hospital,"Johar Road Civil Lines, Sheikhupura",Private,
255,Sheikhupura,Kishwar Fazal Teaching Hospital,"6-Km, Yateem Khana Chowk, Faizpur Interchange, Lahore",Private,
256,Sheikhupura,District Headquarter Hospital Sheikhupura,"Sargodha Road, Sheikhupura",Public,
257,Sialkot,Sialkot Medical Complex,"Commissoner Road, Sialkot",Private,
