,,,,
Sr. No.,District,HCE Name,Address,Contact#
158,Gujranwala,Al Khidmat Medical Lab,Alamgir Road Kamoke.Gujranwala,3236318331
159,Gujranwala,"Alaq Medical Diagnostic Centre, Kashmir Road, Gujranwala","Main Sialkot Road, Opposite Need Store and Christian Graveyard, Gujranwala",0300-4463811
160,Gujranwala,Al-Falaq Diagnostic Centre,"10-DC Road, Gujranwala",3006487512
161,Gujranwala,Alliance Diagnostic Centre,"Green Valley Housing Society, Phase 5, Plaza No. 22, Main Sialkot Road, Gujranwala",0333-4081824
162,Gujranwala,"All-Noor Medical & Diagnostic Centre, Gujranwala",Ali Centre Main G.T Road Near Regent Cinema Gujranwala,0333-5352124
163,Gujranwala,"Arsh Diagnostic Centre, Kangni wala Main Road, Gujranwala",Gujranwala Sialkot By Pass Kangniwala Main Road Road Pepli Wala Chowk Opposite Sainatary MKT Gujranwala,0322-8095143
164,Gujranwala,"Asad Clinical Lab, Munir Chowk, Gujranwala","Munir Chowk, Gujranwala",0322-5563009
165,Gujranwala,Baserat Laboratory,"Aziz Market Opposit Civil Hospital, Dr.Qaiser Saeed Clinic, Gujranwala",3321779216
166,Gujranwala,"Best Care Lab, Munir Chowk, Gujranwala",Near Majeed Complex Munir Chowk Gujranwala,0300-6433749
167,Gujranwala,Capital Medical Lab,"Opp DHQ Hospital Aziz Market, Gujranwala",0309-5700014
168,Gujranwala,Chughtai Stat Lab,"Sialkot Road Near Total Petrol Pump, Gujranwala",0321-5427754
169,Gujranwala,Citi Care Diagnostic centre,"28 DC Road, Lalazar Colony, Gujranwala",0300-8428680
170,Gujranwala,Danish Clinical Lab,"Muneer Chowk, Ghazi Plaza, Gujranwala",0305-4984461
171,Gujranwala,Eagle Clinical Lab,"Railway Road, Wazirabad, Gujranwala",3225563009
172,Gujranwala,"EMMAN Medical Center, Kangniwala Bypass, Gujranwala","Kangniwala Bypass, Opposite Rana Nasir House, Gujranwala",ÿ
173,Gujranwala,Express Lab & Diagnostic Services,"Inside Chaudhary Hospital, Satellite Town, Gujranwala",0301-8415678
174,Gujranwala,Faisal Clinical Laboratory,"GT Road, Ghakhar Mandi Al Riyaz Market, Gujranwala",0300-6433425
175,Gujranwala,"Fatima Laboratories, Al Rehman Plaza, Gujranwala","Al Rehman Plaza, Munir Chowk, Gujranwala",0320-1111570
176,Gujranwala,Fraz Lab,Fraz Lab Munir Chowk Civil Lines District Gujranwala,0300-8649690
177,Gujranwala,"Give Lab, Court Road, Gujranwala","Munir Chowk Court Road, Gujranwala",ÿ
178,Gujranwala,"Health Care Diagnostic Centre,","Main Sialkot Bypass Road, Opp. Royal Garden Hotel, Gujranwal",ÿ
179,Gujranwala,Health Laboratories,"Aziz Market Opposite Main Gate DHQ Hospital, Gujranwala",3311163534
180,Gujranwala,Imperial Laboratories,"Opposite To PTCL Exchange Main GT Road, Pak Town, Kamoki, Gujranwala",0333-5473393
181,Gujranwala,Infinity Stat Lab Gujranwala,"Bhatti Hospital, Kacheri Road, Near UBL Bank, Munir Chowk, Gujranwala",3124824633
182,Gujranwala,Jamil Pathology Lab,"Asad Centre, Minir Chowk, Ketchery Road, Gujranwala",3354938544
183,Gujranwala,"Life Care Diagnostic Centre, Al-Meraj Fan Gondalawala Road, Gujranwala","426-B Model Town Opp Al-Meraj Fan Gondalawala Road Qiladedar Singh, Gujranwala",0300-6434605
184,Gujranwala,Meharban Lab & Digital X-Ray,"Opposite Bhutta Plaza College Road, Gujranwala",3477716964
185,Gujranwala,Misbah Diagnostic Center,"Zia Plaza Opp GTS Bus Stand G T Road, Gujranwala",0333-5188151
186,Gujranwala,Naveed Lab & Blood Bank,"Al Aziz Market, Opposite DHQ Hospital, Gujranwala",0300-6434605
187,Gujranwala,New Naveed Lab,"Khan Masjid Noushera Road, Gujranwala",3477716964
188,Gujranwala,Noor Poly Lab,"Depu Wali Galli Gill Road, Gujranwala",3441403247
189,Gujranwala,Pacific Diagnostic Center,"Main Sialkot Bypas Road Near Khurram Fillaing Station Opp Garden Town, Gujranwala",0306-8888040
190,Gujranwala,Pride Lab,"Aziz Market, Opposite DHQ, Gujranwala",0333-3455855
