,,,,
Sr. No.,District,HCE Name,Address,Contact#
701,Rahim Yar Khan,Human Care Laboratories,Sheikh Zayed Hospital Road Rahim Yar Khan,3327319778
702,Rahim Yar Khan,Islamabad Diagnostic Centre,"Plot No.4, Sheikh Zayed Hospital Road, Rahim Yar Khan.",3347320599
703,Rahim Yar Khan,Khan Labs & Diagnostic Centre,"Hospital Road Near Lords Pharmacy, Rahim Yar Khan",3206025373
704,Rahim Yar Khan,LEGHARI CLINICAL LABORATORY,LINK HOSPITAL ROAD,3009683350
705,Rahim Yar Khan,Nayab Labs,"Hospital Road, Sadiqabad, Rahim Yar Khan",ÿ
706,Rahim Yar Khan,Patho Care Laboratory,"Hospital Road, Opposite Habib Bank, Rahim Yar Khan",0333-3303300
707,Rahim Yar Khan,"Punjab Diagnostic CT Scan Centre, Rahim Yar Khan","9-A,Jail Road, SatelliteTown, Rahim Yar Khan",0321-6701417
708,Rahim Yar Khan,Shaukat Khanum Memorial Cancer Hospital Diagnostic Laboratory,"8-Businessman Colony Club RoadNear Al khidmat Medical Complex,Model Town,Rahim Yar Khan",0333-7124833
709,Rahim Yar Khan,"Talha Labs, Sadiqabad, Rahim Yar Khan","Hospital Road, Sadiqabad, Rahim Yar Khan",0300-6700196
710,Rahim Yar Khan,"The Advance Anmol Clinical Laboratories & Research Center, Hospital Road, Sadiqabad, Rahim Yar Khan","Near Telephone Exchange, Hospital Road, Sadiqabad, Rahim Yar Khan",0300-4408954
711,Rahim Yar Khan,Umar Clinical Laboratory,"Opp Habib bank Shop No 2, SH. Zayed Hospital Road Rahim yar Khan",0300-9679671
712,Rahim Yar Khan,Usama Clinical Laboratory,"Hospital Road, Rahim Yar Khan",0300-6722455
713,Rajanpur,Huzaifa Clinical Lab,"Khan Plaza Near DHQ Hospital, Rajanpur",0333-6446410
714,Rajanpur,"Jan Clinical Laboratory, Jampur, Rajanpur","Jan Clinical Laboratory, Jampur, Rajanpur",0333-6456975
715,Rajanpur,Saffi Clinical Lab,"Hospital Chowk Near DHQ Hospital, Rajanpur",3334300355
716,Rawalpindi,Abbas Medical Lab,Khalid Plaza Lower Ground 204-A Gulzar E Qaid Rawalpindi,3005080797
717,Rawalpindi,"Abrar Diagnostic Centre, Peshawar Road Rawalpindi","312-E, Chairing Cross Peshawar Road Rawalpindi",0331-5261588
718,Rawalpindi,Abrar Medical Diagnostics,"Shop No.1, Liberty Plaza Opposite Benazir Bhutto Hospital, Murree Road, Rawalpindi",3338421498
719,Rawalpindi,Accurate Lab,"E-35/2, Block E, Satellite Town, Rawalpindi",0333-5707582
720,Rawalpindi,ACME Lab,"Lane No. 5, Sarwar Clinics, Below Amer Eye Hospital, Peshawar Road, Rawalpindi",0300-5190704
721,Rawalpindi,Adil Clinical Lab,"Kahutah, Rawalpindi",ÿ
722,Rawalpindi,Adil Diagnostics,"B-1315, Saidpur Road, Rawalpindi",0322-5100300
723,Rawalpindi,Advance Diagnostic Centre (Pvt) Ltd,"Ground Floor Property No NW-713, Mair Saidpur Road, Rawalpindi",3224646804
724,Rawalpindi,Advance Diagnostic Lab,E67/3 Shop 04 Holy Family Gate 1 Satellite Town Rawalpindi,ÿ
725,Rawalpindi,"Advance Diagnostic Lab, Gulraiz, Rawalpindi",Hassan Plaza 1st Floor Opp Margala Denta College Gulraiz Rawalpindi,ÿ
726,Rawalpindi,Ahmad Lab Texila,"Akbar Plaza, Opp Taxila Museum khanpur Road Taxila Rawalpindi",0323-8553070
727,Rawalpindi,Al Azaan Lab,Near Agha Khan Lab Opposite Rasheed Nursing Home Said Pur Road Rawalpindi,3313727247
728,Rawalpindi,Al Habib Clinical Laboratory,"Nimble Plaza Chirah Road Sadiqbad, Muslim Town, Rawalpindi",ÿ
729,Rawalpindi,Al Imran Medical Lab,"Shop No 7,8 Basement Al Fateh Plaza Chandni Chowk Sattelite Town Rawalpindi",3334219210
730,Rawalpindi,Al Janat Medical Lab & Diagnostic Centre,"Office # 2nd Floor, Royal Plaza Near 6th Road Rawalpindi",0322-5021931
731,Rawalpindi,"Al Mustaqbil Lab, Asghar Mall Scheme, Rawalpindi","House No 67, Asghar Mall Scheme, Rawalpindi",0300-9503081
732,Rawalpindi,Al Rauf Welfare Laboratory,Basment Anas Plaza GT Road Munirabad Taxila Wah Cantt Rawalpindi,3334219210
733,Rawalpindi,Al Razi Laboratory,36 Al Amin Plaza Cantt Board Office Sadar Rawalpindi,3335186442
734,Rawalpindi,"Al Rehman Diagnostic Center, C-Block Satellite Town, Rawalpindi",81-C/A C-Block Satellite Town District Rawalpindi,ÿ
735,Rawalpindi,Al Rehman Medical Laboratory,"F-881 Block - F Opposite Holy Family Hospital, Satellite Town Rawalpindi",0300-8844139
736,Rawalpindi,Alam Lab,Alam Laborites Silver Star Plaza Rehmat Abad Chaklala Rawalpindi,ÿ
737,Rawalpindi,"Alfa Lab & Diagnostic Center, Kashmir Gate Plaza, Rawalpindi",Shop No 4 Kashmir Gate Plaza Opp Benazir Bhutto Hospital Murree Road Rawalpindi,0333-5164842
738,Rawalpindi,Ali Clinical Lab,Near Christian Hospital Faisal Shaheed Road Taxila Rawalpindi,03334343202alidiagno
739,Rawalpindi,Ali Lab,Ali Lab Opposite BBH Shop No 1 Murree Road Rawalpindi,0303-8849991
740,Rawalpindi,"Allied Diagnostic Centre, Satellite Town, Rawalpindi","D-845, 5th Road, Satellite Town, Rawalpindi",0333-3643355
741,Rawalpindi,Allied Medical Laboratories,"Shop No.25/A, Al-Amin Plaza, Mall Road Saddar, Rawalpindi",3343875748
742,Rawalpindi,Al-Shahbaz Modern Diagnostic Center,Near Al Shahbaz Hospital Thana Road Kahuta Rawalpindi,0300-5044707
743,Rawalpindi,Al-Shifa Medical Lab,1st Floor Shop No 02 and 03 Plot No 112 C-5 Railway Scheme 01 Main Bazar Chaklala Rawalpindi,0315-5724524
744,Rawalpindi,Ashfaq Lab,Main Bostan Khan Road Near Car Chowk Dhoke Chaudhrian Rawalpindi,3145145048
745,Rawalpindi,Askari Lab,"Aziz Clinic 2nd Floor, Raffy Mall, Rawalpindi",3215363761
746,Rawalpindi,"Askari Lab, Mall Road, Rawalpindi",Mall Road Sadar Rawalpindi,0321-5422882
747,Rawalpindi,Askari Pathology Lab,"Near Boys High School, G.T Road, Mandra, Gujar Khan, Rawalpindi",3315115457
748,Rawalpindi,Aslam Healthcare Lab,"Babu Market Main Bazar Chak Bali Khan Near Man-O-Salwa Bakers, Rawalpindi",3414330002
749,Rawalpindi,Ayaan Diagnostic Lab,"Shop # 3, F-825, Opposite Main Holy Family Hospital, Rawalpindi",0343-5353266
750,Rawalpindi,"Ayesha Lab & Diagnostic Centre, Opp BB Hospital Murree Road, Rawalpindi",Shop No.2 Kashmir Gate Plaza Opp BB Hospital Murree Road District Rawalpindi,ÿ
751,Rawalpindi,"Ayyub Lab, Police Station Road, Rawalpindi","Shop No 60,61/B Ist Floor Mega Medical Complex, Police Station Road, Rawalpindi",0333-5464271
752,Rawalpindi,AZ Diagnostics,"Shop No 3 Kashmir Gate Plaza Main Murree Road Opposite BBH, Rawalpindi",ÿ
753,Rawalpindi,Bangish Lab,"Bangish Colony, Imam Bargah Road, Pirwadhai, Rawalpindi",0331-5271564
754,Rawalpindi,Bio Diagnostic Centre,"BB-74-A, Near FG TB Centre, Asghar Mall Road, Rawalpindi",ÿ
755,Rawalpindi,BIO HEALTH CARE LABORATORY,"Dhoke Mustaqeem Chowm, Khan Market, Near Pirwadhai Mor, Rawalpindi",3355021118
756,Rawalpindi,"Bio Lab Clinical laboratory, Mughalabad Rawalpindi","Shop No 845, sultan Complex, Abid Majeed Road Mughalabad Rawalpindi Cantt",0333-5177895
757,Rawalpindi,"Bio Path Clinical Labs Islamabad,Mian KRL Road Rawalpindi","41 Street No 4 , Jamshaid Colony Main KRL Road ,Rawalpindi",ÿ
758,Rawalpindi,Bio path Lab and Diagnostic Centre,Opposite Out Gate Rawalpindi General Hospital Murree Road Rawalpindi,0321-5330548
759,Rawalpindi,Biopath Lab,"Healer Hospital, Saidpur Road, Satellite town, Rawalpindi",0333-5178210
760,Rawalpindi,Biotech Molecular & Clinical Lab,"F-883-1, Satellite Town, Opp-Holy Family Hospital Gate no 02.Rawalpindi",0335-5522688
761,Rawalpindi,Biotech Molecular Diagnostic Lab,"E-1, Main Saidpur Road Near Holy Family Stop, Rawalpindi",0335-5098988
762,Rawalpindi,Biozone Medical Laboratories,"Off No 17 Opp Benazir Hospital,Kashmir Gate Plaza,Murree Road,Rawalpindi",0302-6688587
763,Rawalpindi,"Bismillah Diagnostic Centre, Rawalpindi","Main Peshawar Road, Near Rewaj Marriage Hall, Rawalpindi",0300-8464049
764,Rawalpindi,British Lab,"Housing Scheme No.1 Near D.S.P Office, Royal Plaza, Gujar Khan, Rawalpindi",3345428274
765,Rawalpindi,Bukhari Diagnostic Lab,"Flat No.14-A, Third Floor United Plaza Shamsabad, Rawalpindi",ÿ
766,Rawalpindi,"Cantt Lab & Medical Imaging, Mall Road, Rawalpindi","Office No 20, Al Amin Plaza, Mall Road, Rawalpindi",0300-5128137
767,Rawalpindi,Cantt Way Lab,"Al-Amin Plaza PAF Base Section Centre Sadar, Rawalpindi",3355518535
768,Rawalpindi,Capital Diagnostic Centre,"Makson's Arcade, 5th Road Commercial Market Opposite Tehzeb Baker, Satellite Town, Rawalpindi",3315115457
769,Rawalpindi,Capital Diagnostic Centre,"Farooq Khana Plaza, Gadwal Morre, Quaid Avenue",0331-9192296
770,Rawalpindi,"Capital Medical & Diagnostic Centre, Satellite Town, Rawalpindi","Plot No. 372, Ayub Center, Main Saidpur Road, Rawalpindi",0321-8616161
771,Rawalpindi,Care Clinical Laboratory,"Faisal Shaheed Road, Taxilla, Rawalpindi",3110520138
772,Rawalpindi,"Care Laboratories, Saidpur Road, Rawalpindi","973-B Haideri Chowk, Satellite Town, Rawalpindi",0310-6501867
773,Rawalpindi,Center of Excellence Laboratory,"A/224-5&6, Sabza Zar Dheri, Range Road Near CMH, Rawalpindi",ÿ
774,Rawalpindi,"Central Lab, Murree Road, Rawalpindi","1006-04 Opp Out Gate BBH, Murree Road District Rawalpindi",ÿ
775,Rawalpindi,"Chughtai Pathalogy Lab,","Global Star Plaza, Near Kali Tanki Chowk Said Pur Road, Rawalpindi",0343-9611702
776,Rawalpindi,Citi Lab Kashmir Gate Plaza Opp Benazir Bhutoo Hospital Marree Road Rawalpindi,Citilab Kashmir Gate Plaza Opp Benazir Bhutoo Hospital Marree Road Rawalpindi,0300-8501037
777,Rawalpindi,Citizen Medical Lab,Shop No 101 Family Plaza Gate No 03 Holly Family Hospital,3335608074
778,Rawalpindi,City Care Lab,"Opp Street No 15 Kamalabad, Dhoke Syedan Road, Rawalpindi",0313-5077700
779,Rawalpindi,"City Medicare Lab,","Opposite Main Gate 1-2, Holy Family Hospital, Satellite Town, Rawalpindi",0321-5161700
780,Rawalpindi,"D Watson Lab & Diagnostics, Mall Road, Rawalpindi","24, Al Amin Plaza Mall Road Sadar Rawalpindi",0300-5574900
781,Rawalpindi,Digital Diagnostics Lab,"Shop No. G/2, Younas Plaza, Opposite Mian Jee Hotel Near Holy Family Gate No.2, E-Block, Satellite Town, Rawalpindi",3360787871
782,Rawalpindi,Doctors Lab,"Kamran Market, Allama Iqbal Colony, Dhoke Hassu, Rawalpindi",3226980925
783,Rawalpindi,Doctor's Lab,"67/6-E, Satellite Town, Rawalpindi",3009839839
784,Rawalpindi,"Dr Aslam Upal Diagnostic Centre, Rawalpindi",3 Qaid Avenue Lalazar District Rawalpindi,0321-5111169
785,Rawalpindi,Dr. Samina Amanat Lab & Medical Center,"Shop No. D-1022, Main Saidpur Road, Rawalpindi",ÿ
786,Rawalpindi,Elite Lab,Shop No 02 Jawad Plaza Kalma Chowk Dhamial Road Cantt Rawalpindi,3335411135
787,Rawalpindi,"Ellahi Lab, Jamshaid Colony, Rawalpindi","Dr Qdeer Khan Road Khana Pul Peer Jamshaid Colony, Rawalpindi",3345289809
788,Rawalpindi,Emirates Diagnostic Center,"0-1002-B, Behind Kashmir Gate Plaza Opposite BBH Murree Road Rawalpindi",3227362972
789,Rawalpindi,eShifa Lab,"Rasheed Nursing Home, E-Block, Satellite Town, Said Pur Road, Rawalpindi",3086444222
790,Rawalpindi,Excellent Care Laboratory,"Abu Talal Plaza Near UBL Bank Chowk Pindori, Kallar Syedan, Rawalpindi",3349543411
791,Rawalpindi,Family Clinical Lab,"Air Port Housing society, sector-4, Gulzar-E-Qaid, Rawalpindi",3335103183
792,Rawalpindi,Family Clinical Laboratory,"Westridge-III, Allah Abad, Rawalpindi",0300-5281095
793,Rawalpindi,Family Diagnostic Labratory,Mirza Market Allahabad Westridge 3,0330-9266179
794,Rawalpindi,Federal Diagnostic Centre,"E-61/5, Block E, Satellite Town, Rawalpindi",ÿ
795,Rawalpindi,Future Labs,"Plot No 6 Main Haider Road, Saddar, Rawalpindi",ÿ
796,Rawalpindi,Genetics Resource Centre & GRC Lab,"1st Floor Rafay Mall Peshawar Road Westridge, Rawalpindi",0333-5623478
797,Rawalpindi,Genomic Lab,"NW-793, Oppossite Rasheed Nursing Home, Near Agha Khan Collection Point, Saidpur Road, Rawalpindi",3335265718
798,Rawalpindi,Global Lab,"Behind Allied Bank, Shah Bibi Road, Near Sir Syed Chowk, Rawalpindi",3224646804
799,Rawalpindi,Global Medical Centre,"Plot No. B.730, Al Rahim Arcade, Satellite Town, Rawalpindi",0333-5125983
800,Rawalpindi,"Global Medical Services, Rawalpindi","Building No D-135, D Block, Back Side Midway Shopping Mall, 6th Road, Rawalpindi",0345-5998634
801,Rawalpindi,GLOBAL TESTZONE LAB,HOUSE NO.8 VALLEY ROAD WESTRIDGE 1 RAWALPINDI CANTT,3342726904
802,Rawalpindi,Green City Lab,"Family Plaza Ground Floor Opposite Gate No.03, Holy Family Hospital, Rawalpindi",3369994060
803,Rawalpindi,"Gulf Medical Centre, Rawalpindi","Service Road, West Shakrial, Rawalpindi",ÿ
804,Rawalpindi,"Hamza Diagnostic Centre,","Opposite Kohinoor Mills, Naseerabad, Peshawar Road, Rawalpindi",0300-9139392
805,Rawalpindi,Harmain Diagnostic Centre,"F-833, Opposite Gate No.02, Holy Family Hospital, Rawalpindi",3145140925
806,Rawalpindi,"Hashmi Clinical Laboratory(4PM To 8PM), Misrial Road, Rawalpindi","Shop No 3 Anwar Market Street No 9 Misrial Road, Rawalpindi",0303-0549603
807,Rawalpindi,"Health Care Labs, Saidpur Road, Rawalpindi","Shop No. 3, Professional Arcade, Near Kural Interchange, West Service Road, Gulzar-e-Quaid, Rawalpindi",0333-5173972
808,Rawalpindi,Health Plus Lab,Health Plus Lab Upper Floor Noor Pharmacy Opposite Holy Family Hospital Satellite Town Rawalpindi,0331-5234034
809,Rawalpindi,Health Ways Laboratories,PIndi Road Opposite THQ Hospital Kallar Syedan,3215863220
810,Rawalpindi,Health Ways Laboratories,"8/III Murree Road Opposite Ministry Of Defence, Rawalpindi",0321-5565288
811,Rawalpindi,Healthline Diagnostic Services,"Plot No.61,Hall No.2, Rajput Street, Sector-E, Satellite Town, Rawalpindi",3315220859
812,Rawalpindi,Healthline Diagnostic Services,"Plaza No.44-1, Street No.26, Business Bay, DHA Phase-1, Bahria Phase-7, Rawalpindi",3218514354
813,Rawalpindi,HEALTHPLUS LABORATORIES (PRIVATE) LIMITED,Main Adyala Road opposite Noor Hospital near Nadra Office Rawalpindi,3339325935
814,Rawalpindi,Home Lab,Shop No 05 Chaudhry Sharif Plaza Opposite Imam Bargah Dhoke Syedan Rawalpindi,3056201526
815,Rawalpindi,"Humna Diagnostic Centre, Rawalpindi","30B-2 Main Satellite Town, Rawalpindi",0315-5141213
816,Rawalpindi,"Ibne Sena Laboratory & Diagnostic Centre, Satellite Town, Rawalpindi","House No 6, Kashmir Gate Plaza, Opp B.B Hospital, Muree Road, Satellite Town, Rawalpindi",0321-8508950
817,Rawalpindi,IDC Collection & Imaging Center,"Holy Family Hospital Opposite Gate No 3, Rawalpindi",0343-8530030
818,Rawalpindi,Khaleej Diagnostic Center,"284/2, Raja Akram Road Near Race Course Ground, Rawalpindi",0333-5121279
819,Rawalpindi,Khan Lab And Diagnostic Centre,"B Block 991, Haidery Chowk, 4th Road, Rawalpindi",0320-6025373
820,Rawalpindi,Khattak Diagnostic Center,Khattak Diagnostic Center Opposite Waha Gernal Hospital Taxila Rawalpindi,3455624251
821,Rawalpindi,"Khayaban Clinical Lab, Khayaban e Sir Sayyed, Rawalpindi","Hameed Plaza Sector II Awan Market Khayaban e Sir Sayyed, Rawalpindi",ÿ
822,Rawalpindi,KIMS Lab,KIMS Lab Opposite Benazir Bhutto Hospital,3335212828
823,Rawalpindi,Kohsar Diagnostic Center,Kohsar Diagnostic Center A-142/125 Kashmir Bazar Near DHQ Rawalpindi,0335-5160029
824,Rawalpindi,Kohsar Lab,"Bohar Bazar, Kahuta, Rawalpindi",3336883707
825,Rawalpindi,"Life Care Lab & Diagnostic Center, Dar ul Uloom Jamia Masjid, Rawalpindi","House No.10, Chungi No.22, Darul Ul Uloom Jamia Masjid, Rawalpindi",0321-5234771
826,Rawalpindi,"Lillah Medical Diagnostic Centre, Rawalpindi","101-A, Behind Taj Mehal Plaza 6th RD. Chowk, Rawalpindi",0300-5252192
827,Rawalpindi,M Care Lab,"Misaryal Road,Misaryal Chowk Near Allide Bank, Rawalpindi",0334-5339725
828,Rawalpindi,Madina Health Laboratory,Al Amin Plaza Saddar Rawalpindi,3320506023
829,Rawalpindi,Mahnoor Diagnostic Center,"378-Saidpur Road, Satellite Town, Rawalpindi",0321-5599227
830,Rawalpindi,Maqbool Lab,"80/383, Laiq Ali Chowk Wah Cantt, Taxila, Rawalpindi",3005901543
831,Rawalpindi,Marhaba Medical Diagnostic Center,"E-50,E Block ,Nearby Haidri Chowk ,Satellite Town ,Rawalpindi",0322-4423325
832,Rawalpindi,"Med Path Laboratory, gate No 3,basement Abbasi medical store , holy family hospital road , Rawalpindi","House No.208, Lane No.07, Army Officers Colony, Moragh, Rawalpindi",ÿ
833,Rawalpindi,MED WAYS DIAGNOSTIC CENTER,Opp. THQ Hospital Kallar Syedan,3455288229
834,Rawalpindi,MedAsk Clinical Laboratory,Plot # F-833/4 Main Holy Family Hospital Road Opposite Gate # 1 & 2 Rawalpindi,0321-5010562
835,Rawalpindi,Medeast Laboratory,"Abu Bakar Avenue Safari Velley Phase-8, Bahria Town, Rawalpindi",3151561429
836,Rawalpindi,Medi Tech Laboratories,"Shop No.G-2, Ground Floor, Golden Plaza, Opposite Soneri Bank, Near Transformer Chowk, Kurri Road, Rawalpindi",3345428274
837,Rawalpindi,Medicare Diagnostic Medical Centre (private) Limited,"Satellite Rawal, Rawalpindi",0313-7877451
838,Rawalpindi,MediCare Laboratory,"Near THQ Hospital, Gujarkhan, Rawalpindi",ÿ
839,Rawalpindi,Mehar Lab,"Chowk Dheri, Hassanabad, Rawalpindi",0321-5515680
840,Rawalpindi,Micro Lab & Diagnostic Centre,"Fazal Town Basement PIA Medical Centre, Old Airport Link Road, Rawalpindi",3088080080
841,Rawalpindi,Modern Diagnostic Centre,"F-833/14, Opposite Gate No 2 Holy Family Hospital, Satellite Town, Rawalpindi",0314-4330002
842,Rawalpindi,Muzaffar Khan Pathology Lab,Faisal Shaheed Road Near Over Head Bridge Taxila Rawalpindi,3334343202
843,Rawalpindi,Nadeem Clinical Laboratory,"Liaqat Ali Nadeem Clinical Laboratory, Faisal Shaheed Road Near Over Head Bridge Taxila District, Rawalpindi",0345-5618545
844,Rawalpindi,"National Laboratory Alamin Plaza, Rawalpindi","Alamin Plaza Mall Road Sadar, Rawalpindi",ÿ
845,Rawalpindi,"NEXUS Diagnostics, Aziz Bhatti Road Rawalpindi",55-B Civil Lines Rashid Minhas Road Rawalpindi,ÿ
846,Rawalpindi,"Pak Rawalpindi Medical Lab, Satellite Town, Rawalpindi","F-786, Near Siddique Chowk, Satellite Town, Rawalpindi",0300-9623125
847,Rawalpindi,"Pak Saudi Diagnostic Center, Behria Town, Rawalpindi","No33 2nd Floor, Asian Bussines Center, G.T Road, Main Gate Behria Town, Phase 7/8, Rawalpindi",0300-9503819
848,Rawalpindi,Pakistan Diagnostic Centre,"Shop No.10, 1st Floor Al Amin Plaza Shahar-E-Quaid-Azam, Cantt, Rawalpindi",ÿ
849,Rawalpindi,Pakistan Medical Lab,"Shop # B-11/2, Near Old Raazi Hospital, Opposite Razi Park, Satellite Town, Rawalpindi",3215505342
850,Rawalpindi,"Pearl Diagnostic Centre, Royal Plaza, Rawalpindi","Office # 2, 3rd Floor, Royal Plaza, 6th Road Rawalpindi",0335-8027230
851,Rawalpindi,Perfect Medical Lab,"House No. D-56, Housing Scheme No.1, Bank Al-Falah Street, Gujar Khan, Rawalpindi",3219391838
852,Rawalpindi,"Potohar Medical Clinic, Masood Arcade IJP Road, Rawalpindi",Masood Arcade IJP Road District Rawalpindi,0322-5007443
853,Rawalpindi,Premium Diagnostic Center Private Limited Reg# 9803503,"2 The Mall, Opp Nadira Office, Saddar, Rawalpindi",0322-8505100
854,Rawalpindi,Primax Diagnostic Center,"03-42/ B-1 Opposite In Gate Benazir Bhutto Hospital, Murree Road, Rawalpindi",0300-9104546
855,Rawalpindi,"Prime City Clinical Lab, Kahuta, Rawalpindi","Ghafar Plaza Channi Bazar Kahuta, Rawalpindi",0300-5130335
856,Rawalpindi,Professional Lab,"Ghafar Kiyani Road Near Al Falah Mosque, Azizabad, Rawalpindi Cantt",3334622783
857,Rawalpindi,Punjab Lab,Shop No 3 Opposite BBH Murree Road Rawalpindi,0312-5019679
858,Rawalpindi,Pure Health Lab,Dr Aftab street behind Police Station Main Bazar Mandra,3475105900
859,Rawalpindi,Qayas Clinical Laboratory,"Inam Plaza, Shop # 8, Near Amna Family Clinic, Bostan Khan Road, Dhoke CHauhdrian, Chaklala Scheme Three, Rawalpindi",0345-5411602
860,Rawalpindi,Radiant Lab,"House No.CB-6437, Near Haval Motors, Opposite Al Shifa Trust Eye Hospital, Jhelum Road, Rawalpindi",0335-0016407
861,Rawalpindi,Rawal Diagnostic Center,"Sadiqabad 38-A/1, Near Bilal Hospital, Chira Road, Rawalpindi",ÿ
862,Rawalpindi,"Rawalpindi Diagnostic Centre, Scheme-III Chaklala, Rawalpindi",House No.626 Street No.8 Scheme-III Chaklala District Rawalpindi,0300-8558197
863,Rawalpindi,"Reliance Medical Lab, Satellite Town, Rawalpindi","D-975, D-Block, Satellite Town, Rawalpindi",0321-5893458
864,Rawalpindi,Research & Diagnostic Centre,"Opposite Gate No.1, Holy Family Hospital, Rawalpindi",ÿ
865,Rawalpindi,Royal Medical Lab,"Main Fauji Colony, Bokra Road, Rawalpindi",0336-6666969
866,Rawalpindi,"Sanober Clinical Laboratory, Sadiqabad, Rawalpindi","DT 211-A Chirrah Road Sadiqabad, Rawalpindi",3335160029
867,Rawalpindi,SANOBER MEDICAL LABORATORY,Opposite Leprosy Hospital Zafar Ul Haq Road Glass Factory Chowk Rawalpindi,3339325935
868,Rawalpindi,"Sapphire Medical & Diagnostic Centre, Satellite Town, Rawalpindi","Block F-851 6th Road Satellite Town, Rawalpindi",0321-4900150
869,Rawalpindi,Shaheen Health Plus Lab,"Mega Mall Lower Ground, Opposite AFIC/MH Mall Road Saddar, Rawalpindi",0322-4659808
870,Rawalpindi,Shaheen Lab & Diagnostic Centre,"Shop # 34, Al Amin Plaza, Opposite AFIC/MH, Mall Road Saddar, Rawalpindi",ÿ
871,Rawalpindi,Smart Diagnostic Centre,"Opposite THQ Hospital, Kahuta,Rawalpindi",0334-1777748
872,Rawalpindi,Super Labs,"7/E Madina Medical Center, Haideri Chowk, Saidpur Road, Rawalpindi",0335-5833862
873,Rawalpindi,Taqwa Medical Centre,"Jawad Plaza, Opposite IJP Metro Station, IJP Road, Rawalpindi",ÿ
874,Rawalpindi,Taxila Clinical Laboratory,"Faisal Shaheed Road, Opposite Mekfooz Dawakhana, Taxila, Rawalpindi",0300-5116509
875,Rawalpindi,"Temar Diagnostic Centre, Rawat Road, Rawalpindi","Building # 1 Adjacent to Rawalpindi Institute of Cardiology Rawal Road, Rawalpindi",0320-5000062
876,Rawalpindi,The Ghalib Lab,"Ghousia Market Opposite Punjab Bank Kallar Syedan, Rawalpindi",0312-9098664
877,Rawalpindi,The Haroon Lab,"Kashmir Gate Plaza 1st Floor, Office # 4, Near Benazir Hospital, Rawalpindi",0323-5071973
878,Rawalpindi,"The Molecular Concerns Lab, Holy Family Hospital, Rawalpindi","F-833/3 Opp Gate No 2 Holy Family Hospital, Rawalpindi",0332-5888828
879,Rawalpindi,The Shifa Lab,"Shop No 3, Paris Plaza, Trolly Ada, Khana Road, Rawalpindi",0301-5414042
880,Rawalpindi,"Twin City Diagnostics, Satellite Town, Rawalpindi","78-A Aran Road, Satellite Town, Rawalpindi",0345-5112621
881,Rawalpindi,"Ultra Lab, Satelite Town, Rawalpindi","Family Plaza Opp Gate No 3, Holy Family Hospital, Satelite Town, Rawalpindi",0320-5626486
882,Rawalpindi,United Clinical Lab,"E-84/D, Opposite Holy Family Hospital Gate No.06, Rawalpindi",3216182607
883,Rawalpindi,"United Lab, Alam Plaza Fall Road, Rawalpindi",1St Floor Alam Plaza Opp Mh Afic Teh Fall Road District Rawalpindi,0333-5347699
884,Rawalpindi,Urgent Medical Diagnostic Centre,"Taj Tower, A-101 Satellite Town, 6th Road Chowk Rawalpindi",0321-2555001
885,Rawalpindi,Urwah Lab,"Shop No B-IV-13, Chaudhary Plaza, Chirah Road, Sadiq Abad Chowk, Rawalpindi",0334-5003942
886,Rawalpindi,Vision Diagnostic Center,Shoaib Clinic 2nd Floor Kuree Road sadiqabad,0314-5145048
887,Rawalpindi,Wilson Lab,"Shop No.14,Basement Al Amin Plaza,Mall Road,Rawalpindi",3349399915
888,Rawalpindi,"Yashfeen Medical & Diagnostic Centre, Murree Road Rawalpindi","Office No O-1, 6 1 J, Johar Town Murree Road Rawalpindi",0320-5000062
889,Rawalpindi,Zainab Clinical Labortary,"Main Chowk Lalkurti, Near Dispensary Ground, Rawalpindi",ÿ
890,Sahiwal,Abbas Lab & Diagnostic Centre,"Opposite DHQ Teaching Hospital Noor Shah Road, Sahiwal",3009694457
891,Sahiwal,Al Madina Laboratories,"Girls College Road, Sahiwal",0304-4228282
892,Sahiwal,Alfalah Diagnostic Labs Pvt Ltd,"203-B1 Hali Road, Sahiwal",0300-6900651
893,Sahiwal,Azaan Diagnostic Lab,"Opposite Sahiwal Teaching Hospital, Sahiwal",3318723567
894,Sahiwal,Decent Hormone Diagnostic Lab,"Opposite Gate No. 1, Sahiwal Teaching Hospital Sahiwal",3236578028
895,Sahiwal,"Ganj Shakar Pathology Laboratory & Research Center, Opp Gate No 1 Civil Hospital, Sahiwal","Opposite Gate No1 Civil Hospital, Sahiwal",0300-7834400
896,Sahiwal,Hamda Lab,"177-Mujahid Clinic, Hali Road, Sahiwal",3365921588
897,Sahiwal,Health Zone Diagnostic Laboratory,"Opposite Sahiwal Teaching Hospital, Sahiwal",3314844086
898,Sahiwal,Hi-Tech Diagnostic Lab,"Tehsil Chowk, Sahiwal",3094013642
899,Sahiwal,International Diagnostic Center,"Royal Residencia ,jinnah town, Harappa station ,Sahiwal",3224485187
900,Sahiwal,Islamabad Diagnostic Center,"Opposite DHQ Hospital Gate No.1, ,Kot Fareed, Noor Shah Road, Sahiwal",0343-8530067
901,Sahiwal,Life Care Diagnostic Lab,"Opposite D.H.Q Hospital, Sahiwal",3006755157
902,Sahiwal,"Life Care Diagnostic lab, Bandari Chowk, Sahiwal",Bandari Chowk Girls College Road Sahiwal,0305-5956788
